TESTE;EXECUCAO;CUSTO;TEMPO
Teste2;1;1617.6860015266386;16ms
Teste1;1;4.02458997861288E-6;31ms
Teste1;2;2.1338106392931877E-8;31ms
Teste2;2;3.893319515668736E-7;15ms
Teste2;3;9.075780127432154E-7;32ms
Teste1;3;5.863286212104413E-8;15ms
Teste1;4;1.6922474799230258E-7;32ms
Teste2;4;9.12975095879176E-6;15ms
Teste1;5;6.181164042828868E-7;16ms
Teste2;5;5.676414360777926E-8;15ms
Teste2;6;1.788969683502728E-7;16ms
Teste1;6;1.3886955249731159E-5;16ms
Teste2;7;2.295369224469823E-6;16ms
Teste1;7;4.9150592928981496E-8;16ms
Teste1;8;2.1389101064528404E-5;15ms
Teste2;8;2.9643858159289493E-6;16ms
Teste2;9;1.4471739895327573E-7;0ms
Teste1;9;3.358309896839273E-8;0ms
Teste1;10;5.696890941209176E-7;15ms
Teste2;10;1.0637819514158764E-8;16ms
Teste1;11;4.718974029316314E-7;16ms
Teste2;11;4.747013444372783E-5;15ms
Teste1;12;3.792592906393111E-10;16ms
Teste2;12;6.132451879636847E-7;15ms
Teste2;13;3.970343875892013E-8;16ms
Teste1;13;2.069594629006133E-8;16ms
Teste2;14;6.140789794883972E-6;16ms
Teste1;14;8.672175511037494E-8;16ms
Teste2;15;3.129916422039969E-6;15ms
Teste1;15;1.7663861502370537E-6;16ms
Teste1;16;8.990326876912036E-5;31ms
Teste2;16;2.7237267463675607E-6;16ms
Teste1;17;1.340737778576795E-7;15ms
Teste2;17;8.71516971479025E-6;16ms
Teste1;18;1.0631111990733189E-8;16ms
Teste2;18;1.0356244000142567E-4;15ms
Teste1;19;8.421759146060026E-6;16ms
Teste2;19;9.778052225684064E-6;15ms
Teste1;20;1.0297762820243861E-7;0ms
Teste2;20;8.175827979073347E-7;0ms
Teste1;21;3.178062035757989E-6;0ms
Teste2;21;5.3725944582083685E-8;0ms
Teste2;22;3.939474524372599E-9;0ms
Teste1;22;1.3858064917826596E-8;0ms
Teste2;23;1.1559774470981665E-7;15ms
Teste1;23;2.4295974210275517E-6;16ms
Teste1;24;1.6274201787069842E-5;16ms
Teste2;24;1.0435133663833085E-6;0ms
Teste2;25;2.2160336143883796E-7;16ms
Teste1;25;7.591859620958985E-7;16ms
Teste2;26;3.7692158727509195E-8;15ms
Teste1;26;1.538581200222211E-6;16ms
Teste1;27;5.384869510294266E-7;0ms
Teste2;27;4.757165284985376E-5;0ms
Teste1;28;3.328239372990538E-8;16ms
Teste2;28;1.3665875897572732E-7;16ms
Teste2;29;1.4161761434650089E-6;0ms
Teste1;29;5.475210631544769E-7;16ms
Teste1;30;2.4366176631929193E-8;0ms
Teste2;30;1.4846568596738052E-7;0ms
